category,skill
Frontend-Technologien,React
Frontend-Technologien,TypeScript
Frontend-Technologien,JavaScript
Frontend-Technologien,HTML5
Frontend-Technologien,CSS3
Frontend-Technologien,Tailwind CSS
Frontend-Technologien,Vue.js
Frontend-Technologien,Angular
Backend-Technologien,Node.js
Backend-Technologien,Express.js
Backend-Technologien,Python
Backend-Technologien,Java
Backend-Technologien,C#
Backend-Technologien,.NET
Backend-Technologien,PHP
Backend-Technologien,REST APIs
Datenbanken,PostgreSQL
Datenbanken,MySQL
Datenbanken,MongoDB
Datenbanken,Redis
Datenbanken,SQLite
Datenbanken,Firebase
Cloud & DevOps,AWS
Cloud & DevOps,Azure
Cloud & DevOps,Docker
Cloud & DevOps,Kubernetes
Cloud & DevOps,CI/CD
Cloud & DevOps,Git
Cloud & DevOps,Jenkins
Cloud & DevOps,Terraform
Tools & Frameworks,VS Code
Tools & Frameworks,IntelliJ IDEA
Tools & Frameworks,Postman
Tools & Frameworks,Figma
Tools & Frameworks,Jira
Tools & Frameworks,Confluence
Tools & Frameworks,Slack
Soft Skills,Team Leadership
Soft Skills,Agile/Scrum
Soft Skills,Mentoring
Soft Skills,Problem Solving
Soft Skills,Communication
Soft Skills,Project Management
